valid_tn_step,step,valid_tp_step,valid_fp_step,valid_fn_step,valid_WAcc,valid_F1,valid_fn_epoch,valid_Loss,valid_tp_epoch,epoch,valid_tn_epoch,valid_fp_epoch
11163.0,286,38.0,282.0,133.0,,,,,,,,
11161.0,287,36.0,284.0,135.0,,,,,,,,
11170.0,288,31.0,289.0,126.0,,,,,,,,
11171.0,289,33.0,287.0,125.0,,,,,,,,
11166.0,290,25.0,295.0,130.0,,,,,,,,
11171.0,291,32.0,288.0,125.0,,,,,,,,
11173.0,292,30.0,290.0,123.0,,,,,,,,
11184.0,293,40.0,280.0,112.0,,,,,,,,
11164.0,294,25.0,295.0,132.0,,,,,,,,
11174.0,295,32.0,288.0,122.0,,,,,,,,
11161.0,296,32.0,288.0,135.0,,,,,,,,
11174.0,297,34.0,286.0,122.0,,,,,,,,
11175.0,298,27.0,293.0,121.0,,,,,,,,
11158.0,299,26.0,294.0,138.0,,,,,,,,
11160.0,300,39.0,281.0,136.0,,,,,,,,
11161.0,301,41.0,279.0,135.0,,,,,,,,
11185.0,302,29.0,291.0,111.0,,,,,,,,
11177.0,303,36.0,284.0,119.0,,,,,,,,
11182.0,304,40.0,280.0,114.0,,,,,,,,
11169.0,305,25.0,295.0,127.0,,,,,,,,
11170.0,306,32.0,288.0,126.0,,,,,,,,
11166.0,307,39.0,281.0,130.0,,,,,,,,
11158.0,308,25.0,295.0,138.0,,,,,,,,
11158.0,309,23.0,297.0,138.0,,,,,,,,
11183.0,310,29.0,291.0,113.0,,,,,,,,
11163.0,311,39.0,281.0,133.0,,,,,,,,
11158.0,312,20.0,300.0,138.0,,,,,,,,
11187.0,313,31.0,289.0,109.0,,,,,,,,
11178.0,314,26.0,294.0,118.0,,,,,,,,
11165.0,315,27.0,293.0,131.0,,,,,,,,
11165.0,316,29.0,291.0,131.0,,,,,,,,
11168.0,317,31.0,289.0,128.0,,,,,,,,
11181.0,318,24.0,296.0,115.0,,,,,,,,
11172.0,319,23.0,297.0,124.0,,,,,,,,
11169.0,320,41.0,279.0,127.0,,,,,,,,
11155.0,321,33.0,287.0,141.0,,,,,,,,
11165.0,322,19.0,301.0,131.0,,,,,,,,
11159.0,323,36.0,284.0,137.0,,,,,,,,
11166.0,324,31.0,289.0,130.0,,,,,,,,
11167.0,325,25.0,295.0,129.0,,,,,,,,
11162.0,326,34.0,286.0,134.0,,,,,,,,
11175.0,327,28.0,292.0,121.0,,,,,,,,
11173.0,328,28.0,292.0,123.0,,,,,,,,
11172.0,329,25.0,295.0,124.0,,,,,,,,
11172.0,330,33.0,287.0,124.0,,,,,,,,
11193.0,331,34.0,286.0,103.0,,,,,,,,
