valid_tp_step,step,valid_tn_step,valid_fn_step,valid_fp_step,valid_WAcc,epoch,valid_tp_epoch,valid_fp_epoch,valid_F1,valid_tn_epoch,valid_fn_epoch,valid_Loss
154.0,325,7296.0,0.0,4166.0,,,,,,,,
168.0,326,7296.0,0.0,4152.0,,,,,,,,
149.0,327,7296.0,0.0,4171.0,,,,,,,,
151.0,328,7296.0,0.0,4169.0,,,,,,,,
149.0,329,7296.0,0.0,4171.0,,,,,,,,
157.0,330,7296.0,0.0,4163.0,,,,,,,,
136.0,331,7295.0,1.0,4184.0,,,,,,,,
152.0,332,7295.0,1.0,4168.0,,,,,,,,
152.0,333,7296.0,0.0,4168.0,,,,,,,,
152.0,334,7296.0,0.0,4168.0,,,,,,,,
151.0,335,7295.0,1.0,4169.0,,,,,,,,
161.0,336,7296.0,0.0,4159.0,,,,,,,,
164.0,337,7295.0,1.0,4156.0,,,,,,,,
155.0,338,7294.0,2.0,4165.0,,,,,,,,
166.0,339,7296.0,0.0,4154.0,,,,,,,,
149.0,340,7295.0,1.0,4171.0,,,,,,,,
144.0,341,7296.0,0.0,4176.0,,,,,,,,
146.0,342,7296.0,0.0,4174.0,,,,,,,,
146.0,343,7296.0,0.0,4174.0,,,,,,,,
126.0,344,7296.0,0.0,4194.0,,,,,,,,
147.0,345,7294.0,2.0,4173.0,,,,,,,,
163.0,346,7294.0,2.0,4157.0,,,,,,,,
144.0,347,7296.0,0.0,4176.0,,,,,,,,
131.0,348,7296.0,0.0,4189.0,,,,,,,,
171.0,349,7296.0,0.0,4149.0,,,,,,,,
162.0,350,7295.0,1.0,4158.0,,,,,,,,
143.0,351,7296.0,0.0,4177.0,,,,,,,,
164.0,352,7295.0,1.0,4156.0,,,,,,,,
158.0,353,7294.0,2.0,4162.0,,,,,,,,
139.0,354,7296.0,0.0,4181.0,,,,,,,,
146.0,355,7295.0,1.0,4174.0,,,,,,,,
147.0,356,7296.0,0.0,4173.0,,,,,,,,
162.0,357,7296.0,0.0,4158.0,,,,,,,,
146.0,358,7296.0,0.0,4174.0,,,,,,,,
152.0,359,7296.0,0.0,4168.0,,,,,,,,
149.0,360,7295.0,1.0,4171.0,,,,,,,,
175.0,361,7296.0,0.0,4145.0,,,,,,,,
165.0,362,7296.0,0.0,4155.0,,,,,,,,
182.0,363,7296.0,0.0,4138.0,,,,,,,,
148.0,364,7296.0,0.0,4172.0,,,,,,,,
149.0,365,7296.0,0.0,4171.0,,,,,,,,
142.0,366,7295.0,1.0,4178.0,,,,,,,,
140.0,367,7294.0,2.0,4180.0,,,,,,,,
157.0,368,7296.0,0.0,4163.0,,,,,,,,
140.0,369,7296.0,0.0,4180.0,,,,,,,,
172.0,370,7295.0,1.0,4148.0,,,,,,,,
145.0,371,7294.0,2.0,4175.0,,,,,,,,
175.0,372,7295.0,1.0,4145.0,,,,,,,,
158.0,373,7296.0,0.0,4162.0,,,,,,,,
178.0,374,7296.0,0.0,4142.0,,,,,,,,
164.0,375,7296.0,0.0,4156.0,,,,,,,,
164.0,376,7296.0,0.0,4156.0,,,,,,,,
166.0,377,7296.0,0.0,4154.0,,,,,,,,
145.0,378,7294.0,2.0,4175.0,,,,,,,,
152.0,379,7295.0,1.0,4168.0,,,,,,,,
162.0,380,7295.0,1.0,4158.0,,,,,,,,
175.0,381,7296.0,0.0,4145.0,,,,,,,,
162.0,382,7296.0,0.0,4158.0,,,,,,,,
168.0,383,7296.0,0.0,4152.0,,,,,,,,
172.0,384,7296.0,0.0,4148.0,,,,,,,,
157.0,385,7294.0,2.0,4163.0,,,,,,,,
153.0,386,7296.0,0.0,4167.0,,,,,,,,
148.0,387,7296.0,0.0,4172.0,,,,,,,,
164.0,388,7295.0,1.0,4156.0,,,,,,,,
152.0,389,7295.0,1.0,4168.0,,,,,,,,
160.0,390,7296.0,0.0,4160.0,,,,,,,,
154.0,391,7296.0,0.0,4166.0,,,,,,,,
176.0,392,7296.0,0.0,4144.0,,,,,,,,
138.0,393,7296.0,0.0,4182.0,,,,,,,,
147.0,394,7295.0,1.0,4173.0,,,,,,,,
175.0,395,7296.0,0.0,4145.0,,,,,,,,
141.0,396,7295.0,1.0,4179.0,,,,,,,,
148.0,397,7295.0,1.0,4172.0,,,,,,,,
143.0,398,7296.0,0.0,4177.0,,,,,,,,
160.0,399,7296.0,0.0,4160.0,,,,,,,,
150.0,400,7296.0,0.0,4170.0,,,,,,,,
139.0,401,7296.0,0.0,4181.0,,,,,,,,
167.0,402,7296.0,0.0,4153.0,,,,,,,,
127.0,403,7295.0,1.0,4193.0,,,,,,,,
143.0,404,7296.0,0.0,4177.0,,,,,,,,
153.0,405,7296.0,0.0,4167.0,,,,,,,,
144.0,406,7294.0,2.0,4176.0,,,,,,,,
156.0,407,7296.0,0.0,4164.0,,,,,,,,
150.0,408,7295.0,1.0,4170.0,,,,,,,,
177.0,409,7296.0,0.0,4143.0,,,,,,,,
162.0,410,7296.0,0.0,4158.0,,,,,,,,
155.0,411,7296.0,0.0,4165.0,,,,,,,,
158.0,412,7295.0,1.0,4162.0,,,,,,,,
140.0,413,7295.0,1.0,4180.0,,,,,,,,
157.0,414,7295.0,1.0,4163.0,,,,,,,,
155.0,415,7296.0,0.0,4165.0,,,,,,,,
147.0,416,7296.0,0.0,4173.0,,,,,,,,
125.0,417,7295.0,1.0,4195.0,,,,,,,,
165.0,418,7295.0,1.0,4155.0,,,,,,,,
152.0,419,7295.0,1.0,4168.0,,,,,,,,
148.0,420,7296.0,0.0,4172.0,,,,,,,,
161.0,421,7294.0,2.0,4159.0,,,,,,,,
149.0,422,7296.0,0.0,4171.0,,,,,,,,
154.0,423,7295.0,1.0,4166.0,,,,,,,,
178.0,424,7296.0,0.0,4142.0,,,,,,,,
165.0,425,7296.0,0.0,4155.0,,,,,,,,
174.0,426,7295.0,1.0,4146.0,,,,,,,,
153.0,427,7296.0,0.0,4167.0,,,,,,,,
150.0,428,7296.0,0.0,4170.0,,,,,,,,
167.0,429,7296.0,0.0,4153.0,,,,,,,,
155.0,430,7296.0,0.0,4165.0,,,,,,,,
143.0,431,7296.0,0.0,4177.0,,,,,,,,
138.0,432,7296.0,0.0,4182.0,,,,,,,,
169.0,433,7296.0,0.0,4151.0,,,,,,,,
163.0,434,7296.0,0.0,4157.0,,,,,,,,
145.0,435,7295.0,1.0,4175.0,,,,,,,,
138.0,436,7295.0,1.0,4182.0,,,,,,,,
144.0,437,7296.0,0.0,4176.0,,,,,,,,
141.0,438,7296.0,0.0,4179.0,,,,,,,,
164.0,439,7295.0,1.0,4156.0,,,,,,,,
185.0,440,7295.0,1.0,4135.0,,,,,,,,
163.0,441,7294.0,2.0,4157.0,,,,,,,,
164.0,442,7296.0,0.0,4156.0,,,,,,,,
136.0,443,7296.0,0.0,4184.0,,,,,,,,
143.0,444,7295.0,1.0,4177.0,,,,,,,,
157.0,445,7296.0,0.0,4163.0,,,,,,,,
177.0,446,7296.0,0.0,4143.0,,,,,,,,
154.0,447,7295.0,1.0,4166.0,,,,,,,,
156.0,448,7296.0,0.0,4164.0,,,,,,,,
173.0,449,7296.0,0.0,4147.0,,,,,,,,
169.0,450,7296.0,0.0,4151.0,,,,,,,,
147.0,451,7295.0,1.0,4173.0,,,,,,,,
141.0,452,7296.0,0.0,4179.0,,,,,,,,
148.0,453,7294.0,2.0,4172.0,,,,,,,,
157.0,454,7296.0,0.0,4163.0,,,,,,,,
157.0,455,7295.0,1.0,4163.0,,,,,,,,
144.0,456,7296.0,0.0,4176.0,,,,,,,,
154.0,457,7296.0,0.0,4166.0,,,,,,,,
174.0,458,7296.0,0.0,4146.0,,,,,,,,
179.0,459,7295.0,1.0,4141.0,,,,,,,,
172.0,460,7296.0,0.0,4148.0,,,,,,,,
152.0,461,7296.0,0.0,4168.0,,,,,,,,
132.0,462,7296.0,0.0,4188.0,,,,,,,,
167.0,463,7296.0,0.0,4153.0,,,,,,,,
