valid_tn_step,valid_tp_step,valid_fp_step,step,valid_fn_step,valid_F1,valid_Loss,valid_fp_epoch,valid_tp_epoch,valid_tn_epoch,valid_WAcc,epoch,valid_fn_epoch
11460.0,0.0,0.0,274,156.0,,,,,,,,
11454.0,0.0,0.0,275,162.0,,,,,,,,
11478.0,0.0,0.0,276,138.0,,,,,,,,
11466.0,0.0,0.0,277,150.0,,,,,,,,
11465.0,0.0,0.0,278,151.0,,,,,,,,
11457.0,0.0,0.0,279,159.0,,,,,,,,
11473.0,0.0,0.0,280,143.0,,,,,,,,
11460.0,0.0,0.0,281,156.0,,,,,,,,
11452.0,0.0,0.0,282,164.0,,,,,,,,
11445.0,0.0,0.0,283,171.0,,,,,,,,
11463.0,0.0,0.0,284,153.0,,,,,,,,
11468.0,0.0,0.0,285,148.0,,,,,,,,
11445.0,0.0,0.0,286,171.0,,,,,,,,
11445.0,0.0,0.0,287,171.0,,,,,,,,
11459.0,0.0,0.0,288,157.0,,,,,,,,
11458.0,0.0,0.0,289,158.0,,,,,,,,
11461.0,0.0,0.0,290,155.0,,,,,,,,
11459.0,0.0,0.0,291,157.0,,,,,,,,
11463.0,0.0,0.0,292,153.0,,,,,,,,
11464.0,0.0,0.0,293,152.0,,,,,,,,
11459.0,0.0,0.0,294,157.0,,,,,,,,
11462.0,0.0,0.0,295,154.0,,,,,,,,
11449.0,0.0,0.0,296,167.0,,,,,,,,
11460.0,0.0,0.0,297,156.0,,,,,,,,
11468.0,0.0,0.0,298,148.0,,,,,,,,
11452.0,0.0,0.0,299,164.0,,,,,,,,
11441.0,0.0,0.0,300,175.0,,,,,,,,
11440.0,0.0,0.0,301,176.0,,,,,,,,
11476.0,0.0,0.0,302,140.0,,,,,,,,
11461.0,0.0,0.0,303,155.0,,,,,,,,
11462.0,0.0,0.0,304,154.0,,,,,,,,
11464.0,0.0,0.0,305,152.0,,,,,,,,
11458.0,0.0,0.0,306,158.0,,,,,,,,
11447.0,0.0,0.0,307,169.0,,,,,,,,
11453.0,0.0,0.0,308,163.0,,,,,,,,
11455.0,0.0,0.0,309,161.0,,,,,,,,
11474.0,0.0,0.0,310,142.0,,,,,,,,
11444.0,0.0,0.0,311,172.0,,,,,,,,
11458.0,0.0,0.0,312,158.0,,,,,,,,
11476.0,0.0,0.0,313,140.0,,,,,,,,
11472.0,0.0,0.0,314,144.0,,,,,,,,
11458.0,0.0,0.0,315,158.0,,,,,,,,
11456.0,0.0,0.0,316,160.0,,,,,,,,
11457.0,0.0,0.0,317,159.0,,,,,,,,
11477.0,0.0,0.0,318,139.0,,,,,,,,
11469.0,0.0,0.0,319,147.0,,,,,,,,
11448.0,0.0,0.0,320,168.0,,,,,,,,
11442.0,0.0,0.0,321,174.0,,,,,,,,
11466.0,0.0,0.0,322,150.0,,,,,,,,
11443.0,0.0,0.0,323,173.0,,,,,,,,
11455.0,0.0,0.0,324,161.0,,,,,,,,
11462.0,0.0,0.0,325,154.0,,,,,,,,
11448.0,0.0,0.0,326,168.0,,,,,,,,
11467.0,0.0,0.0,327,149.0,,,,,,,,
11465.0,0.0,0.0,328,151.0,,,,,,,,
11467.0,0.0,0.0,329,149.0,,,,,,,,
11459.0,0.0,0.0,330,157.0,,,,,,,,
11479.0,0.0,0.0,331,137.0,,,,,,,,
11463.0,0.0,0.0,332,153.0,,,,,,,,
11464.0,0.0,0.0,333,152.0,,,,,,,,
11464.0,0.0,0.0,334,152.0,,,,,,,,
11464.0,0.0,0.0,335,152.0,,,,,,,,
11455.0,0.0,0.0,336,161.0,,,,,,,,
11451.0,0.0,0.0,337,165.0,,,,,,,,
11459.0,0.0,0.0,338,157.0,,,,,,,,
11450.0,0.0,0.0,339,166.0,,,,,,,,
11466.0,0.0,0.0,340,150.0,,,,,,,,
11472.0,0.0,0.0,341,144.0,,,,,,,,
11470.0,0.0,0.0,342,146.0,,,,,,,,
11470.0,0.0,0.0,343,146.0,,,,,,,,
11490.0,0.0,0.0,344,126.0,,,,,,,,
11467.0,0.0,0.0,345,149.0,,,,,,,,
11451.0,0.0,0.0,346,165.0,,,,,,,,
11472.0,0.0,0.0,347,144.0,,,,,,,,
11485.0,0.0,0.0,348,131.0,,,,,,,,
11445.0,0.0,0.0,349,171.0,,,,,,,,
11453.0,0.0,0.0,350,163.0,,,,,,,,
11473.0,0.0,0.0,351,143.0,,,,,,,,
11451.0,0.0,0.0,352,165.0,,,,,,,,
11456.0,0.0,0.0,353,160.0,,,,,,,,
11477.0,0.0,0.0,354,139.0,,,,,,,,
11469.0,0.0,0.0,355,147.0,,,,,,,,
11469.0,0.0,0.0,356,147.0,,,,,,,,
11454.0,0.0,0.0,357,162.0,,,,,,,,
11470.0,0.0,0.0,358,146.0,,,,,,,,
11464.0,0.0,0.0,359,152.0,,,,,,,,
11466.0,0.0,0.0,360,150.0,,,,,,,,
11441.0,0.0,0.0,361,175.0,,,,,,,,
11451.0,0.0,0.0,362,165.0,,,,,,,,
11434.0,0.0,0.0,363,182.0,,,,,,,,
11468.0,0.0,0.0,364,148.0,,,,,,,,
11467.0,0.0,0.0,365,149.0,,,,,,,,
11473.0,0.0,0.0,366,143.0,,,,,,,,
11474.0,0.0,0.0,367,142.0,,,,,,,,
11459.0,0.0,0.0,368,157.0,,,,,,,,
11476.0,0.0,0.0,369,140.0,,,,,,,,
11443.0,0.0,0.0,370,173.0,,,,,,,,
11469.0,0.0,0.0,371,147.0,,,,,,,,
11440.0,0.0,0.0,372,176.0,,,,,,,,
11458.0,0.0,0.0,373,158.0,,,,,,,,
11438.0,0.0,0.0,374,178.0,,,,,,,,
11452.0,0.0,0.0,375,164.0,,,,,,,,
11452.0,0.0,0.0,376,164.0,,,,,,,,
11450.0,0.0,0.0,377,166.0,,,,,,,,
11469.0,0.0,0.0,378,147.0,,,,,,,,
11463.0,0.0,0.0,379,153.0,,,,,,,,
11453.0,0.0,0.0,380,163.0,,,,,,,,
11441.0,0.0,0.0,381,175.0,,,,,,,,
11454.0,0.0,0.0,382,162.0,,,,,,,,
11448.0,0.0,0.0,383,168.0,,,,,,,,
11444.0,0.0,0.0,384,172.0,,,,,,,,
11457.0,0.0,0.0,385,159.0,,,,,,,,
11463.0,0.0,0.0,386,153.0,,,,,,,,
11468.0,0.0,0.0,387,148.0,,,,,,,,
11451.0,0.0,0.0,388,165.0,,,,,,,,
11463.0,0.0,0.0,389,153.0,,,,,,,,
11456.0,0.0,0.0,390,160.0,,,,,,,,
11462.0,0.0,0.0,391,154.0,,,,,,,,
11440.0,0.0,0.0,392,176.0,,,,,,,,
11478.0,0.0,0.0,393,138.0,,,,,,,,
11468.0,0.0,0.0,394,148.0,,,,,,,,
11441.0,0.0,0.0,395,175.0,,,,,,,,
11474.0,0.0,0.0,396,142.0,,,,,,,,
11467.0,0.0,0.0,397,149.0,,,,,,,,
11473.0,0.0,0.0,398,143.0,,,,,,,,
11456.0,0.0,0.0,399,160.0,,,,,,,,
11466.0,0.0,0.0,400,150.0,,,,,,,,
11477.0,0.0,0.0,401,139.0,,,,,,,,
11449.0,0.0,0.0,402,167.0,,,,,,,,
11488.0,0.0,0.0,403,128.0,,,,,,,,
11473.0,0.0,0.0,404,143.0,,,,,,,,
11463.0,0.0,0.0,405,153.0,,,,,,,,
11470.0,0.0,0.0,406,146.0,,,,,,,,
11460.0,0.0,0.0,407,156.0,,,,,,,,
11465.0,0.0,0.0,408,151.0,,,,,,,,
11439.0,0.0,0.0,409,177.0,,,,,,,,
11454.0,0.0,0.0,410,162.0,,,,,,,,
11461.0,0.0,0.0,411,155.0,,,,,,,,
11457.0,0.0,0.0,412,159.0,,,,,,,,
11475.0,0.0,0.0,413,141.0,,,,,,,,
11458.0,0.0,0.0,414,158.0,,,,,,,,
11461.0,0.0,0.0,415,155.0,,,,,,,,
11469.0,0.0,0.0,416,147.0,,,,,,,,
11490.0,0.0,0.0,417,126.0,,,,,,,,
11450.0,0.0,0.0,418,166.0,,,,,,,,
11463.0,0.0,0.0,419,153.0,,,,,,,,
11468.0,0.0,0.0,420,148.0,,,,,,,,
11453.0,0.0,0.0,421,163.0,,,,,,,,
11467.0,0.0,0.0,422,149.0,,,,,,,,
11461.0,0.0,0.0,423,155.0,,,,,,,,
11438.0,0.0,0.0,424,178.0,,,,,,,,
11451.0,0.0,0.0,425,165.0,,,,,,,,
11441.0,0.0,0.0,426,175.0,,,,,,,,
11463.0,0.0,0.0,427,153.0,,,,,,,,
11466.0,0.0,0.0,428,150.0,,,,,,,,
11449.0,0.0,0.0,429,167.0,,,,,,,,
11461.0,0.0,0.0,430,155.0,,,,,,,,
11473.0,0.0,0.0,431,143.0,,,,,,,,
11478.0,0.0,0.0,432,138.0,,,,,,,,
11447.0,0.0,0.0,433,169.0,,,,,,,,
11453.0,0.0,0.0,434,163.0,,,,,,,,
11470.0,0.0,0.0,435,146.0,,,,,,,,
11477.0,0.0,0.0,436,139.0,,,,,,,,
11472.0,0.0,0.0,437,144.0,,,,,,,,
