valid_tn_step,valid_fp_step,valid_tp_step,valid_fn_step,step,valid_tp_epoch,valid_fn_epoch,valid_F1,epoch,valid_Loss,valid_fp_epoch,valid_tn_epoch,valid_WAcc
10135.0,1346.0,62.0,73.0,267,,,,,,,,
10120.0,1337.0,71.0,88.0,268,,,,,,,,
10142.0,1328.0,80.0,66.0,269,,,,,,,,
10139.0,1328.0,80.0,69.0,270,,,,,,,,
10136.0,1332.0,76.0,72.0,271,,,,,,,,
10128.0,1333.0,75.0,80.0,272,,,,,,,,
10123.0,1330.0,78.0,85.0,273,,,,,,,,
10131.0,1329.0,79.0,77.0,274,,,,,,,,
10128.0,1326.0,82.0,80.0,275,,,,,,,,
10145.0,1333.0,75.0,63.0,276,,,,,,,,
10128.0,1338.0,70.0,80.0,277,,,,,,,,
10129.0,1336.0,72.0,79.0,278,,,,,,,,
10129.0,1328.0,80.0,79.0,279,,,,,,,,
10138.0,1335.0,73.0,70.0,280,,,,,,,,
10129.0,1331.0,77.0,79.0,281,,,,,,,,
10122.0,1330.0,78.0,86.0,282,,,,,,,,
10132.0,1313.0,95.0,76.0,283,,,,,,,,
10127.0,1336.0,72.0,81.0,284,,,,,,,,
10135.0,1333.0,75.0,73.0,285,,,,,,,,
10131.0,1314.0,94.0,77.0,286,,,,,,,,
10125.0,1320.0,88.0,83.0,287,,,,,,,,
10129.0,1330.0,78.0,79.0,288,,,,,,,,
10143.0,1315.0,93.0,65.0,289,,,,,,,,
10121.0,1340.0,68.0,87.0,290,,,,,,,,
10139.0,1320.0,88.0,69.0,291,,,,,,,,
10130.0,1333.0,75.0,78.0,292,,,,,,,,
10137.0,1327.0,81.0,71.0,293,,,,,,,,
10117.0,1342.0,66.0,91.0,294,,,,,,,,
10129.0,1333.0,75.0,79.0,295,,,,,,,,
10127.0,1322.0,86.0,81.0,296,,,,,,,,
10146.0,1314.0,94.0,62.0,297,,,,,,,,
10138.0,1330.0,78.0,70.0,298,,,,,,,,
10133.0,1319.0,89.0,75.0,299,,,,,,,,
10131.0,1310.0,98.0,77.0,300,,,,,,,,
10119.0,1321.0,87.0,89.0,301,,,,,,,,
10135.0,1341.0,67.0,73.0,302,,,,,,,,
10135.0,1326.0,82.0,73.0,303,,,,,,,,
10148.0,1314.0,94.0,60.0,304,,,,,,,,
10131.0,1333.0,75.0,77.0,305,,,,,,,,
10136.0,1322.0,86.0,72.0,306,,,,,,,,
10133.0,1314.0,94.0,75.0,307,,,,,,,,
10124.0,1329.0,79.0,84.0,308,,,,,,,,
10125.0,1330.0,78.0,83.0,309,,,,,,,,
10138.0,1336.0,72.0,70.0,310,,,,,,,,
10135.0,1309.0,99.0,73.0,311,,,,,,,,
10122.0,1336.0,72.0,86.0,312,,,,,,,,
10147.0,1329.0,79.0,61.0,313,,,,,,,,
10130.0,1342.0,66.0,78.0,314,,,,,,,,
10130.0,1328.0,80.0,78.0,315,,,,,,,,
10125.0,1331.0,77.0,83.0,316,,,,,,,,
10129.0,1328.0,80.0,79.0,317,,,,,,,,
10138.0,1339.0,69.0,70.0,318,,,,,,,,
10129.0,1340.0,68.0,79.0,319,,,,,,,,
10136.0,1312.0,96.0,72.0,320,,,,,,,,
10129.0,1313.0,95.0,79.0,321,,,,,,,,
10128.0,1338.0,70.0,80.0,322,,,,,,,,
10127.0,1316.0,92.0,81.0,323,,,,,,,,
10132.0,1323.0,85.0,76.0,324,,,,,,,,
10126.0,1336.0,72.0,82.0,325,,,,,,,,
10129.0,1319.0,89.0,79.0,326,,,,,,,,
10129.0,1338.0,70.0,79.0,327,,,,,,,,
10127.0,1338.0,70.0,81.0,328,,,,,,,,
10124.0,1343.0,65.0,84.0,329,,,,,,,,
10140.0,1319.0,89.0,68.0,330,,,,,,,,
10145.0,1334.0,74.0,63.0,331,,,,,,,,
10136.0,1327.0,81.0,72.0,332,,,,,,,,
10135.0,1329.0,79.0,73.0,333,,,,,,,,
